Text,Class,Type
"i have a flashlight with a few batteries . i also have a coat , hoodie that i could donate",Energy,resource
"Can donate basic supplies such as flashlights , batteries , and clothes etc .",Energy,resource
"Cooking , serving food , distributing goods .",Food,resource
"My wife and I would like to come down from Massachusetts and donate our time and food on Sunday . We can bring a grill and do some cooking , serving or anything that would be helpful . If this works , we will stock up tomorrow and travel down . Hope this helps . Let us know . Thanks .",Food,resource
"We can donate Hygiene products , cleaning supplies , nonperisabhle and hot meals , toys/recreation program , clothing , etc",Food,resource
Please let me know what is especially needed as far as clothing and food are concerned and I will do my best to collect ! Thanks !,Food,resource
E-mailed ******** to specify the non-perishable food that she can donate .,Food,resource
"Dont have specific skills but would love to help in any way I can ! Clean up , passing out food , etc . Please let me know !",Food,resource
@ MarinaFoley oh god this is bad and the storm barely hit us yet ... ...,None,N/A
"This hurricane info is pissin me off . Stay off the roads , away from the water & & make sure your flashlights and food are on deck ! !",None,N/A
"Canned foods : veggies , potatoes , sauces .",Food,resource
Church group would like to come on 12/1 to help with whatever is needed . Can someone please call me asap so we can plan ? ************* or ************* . Thanks ! **************,Food,resource
"School supplies - I have staplers , tape dispensers , push pins , binders etc . Please let me know where I can bring these items .",Food,resource
It smells like Thanksgiving/ Christmas dinner in my house right now.. Moms cookin away ! ! # SandyNJ # cookinwhatfoodisleft,None,N/A
Boxes Of Toothpaste,Medical,resource
********* just called to say she met them -- they were taking up water themselves ! Do not underestimate the resilience of New Yorkers . They 're fine .,Water,resource
"Women 's clothing , children 's clothing , shoes , coats and non-perishable food",Food,resource
"Clothes , movies , books , canned goods , cardboard boxes , comforter",Food,resource
food service,Food,resource
"I can assist in handing out supplies , water , etc . I can probably also help with completing FEMA forms , SNAP ( food stamp ) benefit applications or replacement food SNAP applications , etc . I used to work for the dept of public welfare in PA , so im pretty good with paper work of all sorts .",Food,resource
@ _Slotz what 's the holiday .. here its Halloween which was a big bust do to hurricane sandy..on the Jersey shore.We R having Parade 2morrow,None,N/A
"I have men and woman clothing plus 3-4t girl clothing , Toys , Non perishable food",Food,resource
Just made enough food to keep my full till the storm stops.. But I 'm trapped in my driveway either way,None,N/A
"approximately 6 cans of vegetables - carrots , green beans , peas , and corn .",Food,resource
Gon na stock up on AAA batteries . I 'm going to need to whip out the flip cam for this storm,None,N/A
"This request is for my mother and her many elderly neighbors at ********************************** . This is a 28 story building with no power , no phone service , and NO WATER since Monday . My mother on *************************** and many others in building unable to get out for supplies/water , and unable to call since no phones . Bldg management unresponsive .",Energy,need
Would love to help deliver food/ gather food for those who need it . But am willing to help in any way possible . I am able to get into the city and would love to help .,Food,resource
"This is my life homie you decide yours , hurricane sandy bring it on ... ..",None,N/A
I can help clean or do food service,Food,resource
Back to normal tomorrow ... . Sandy is finally over ... .,None,N/A
"Two years in a raw ... # Irene then # Sandy ... Coincidence , fluke or climate change ?",None,N/A
"My family & I will be doing a drive for donations on your urgent needed list for Christmas . We will be coming with a hopefully full econoline van from Martha 's Vineyard full of non parishable foods , cleaning supplies on the list , and back packs with supplies for the kids in rockaway area . We will be arriving to donate on Sat Dec 22nd . I will check on the website closer to the date & call one of the contact # 's listed a few days before for the best drop off destination & directions . We look forward to seeing you soon . : ) ~ ******************~",Food,resource
"tomorrow at 10am i am bringing a pot of rice a pot of soup , a lasagne , and muffins . Hope this works . We prepared these things tonight and hopefully reheat on location . I can bring a stock pot , and a crock pot and any general kitchen supplies and am prepared to cook .",Food,resource
Nothing makes the idea of a boyfriend more appealing than moving ... . In a hurricane . # rockmelikeahurricane2012,None,N/A
"I have hand tools ( hammer , nails , screws , screwdriver , etc . )",None,resource
id like to serve food or organize donations,Food,resource
Got the urge to adventure in the hurricane ... . Need an accomplice,None,N/A
I do n't have any power and this storm is getting really bad about 3 trees have fallen around my house and the power lines are sparking,Energy,need
Have a great day everyone . Still surviving the storm here . Prayers R with my fellow east coast people 's ... .,None,N/A
I can cook or hand our food if needed as well,Food,resource
"Blankets , baby supplies , dog & cat supplies , jackets , cleanup supplies",Food,need
would like to make food/ serve food,Food,resource
Chicken broth,Food,resource
Going thru all the food in my house to donate to the # redcross # HurricaneSandy,Food,resource
Driving around my state ... ... terrible.. # SandyNJ,None,N/A
This is bad my building has no heat hot water or power .I lost a lot in this storm my car work hours and over 300 hundred dollars in food .,None,N/A
"Hi , I work at Brooklyn Friends School which is a small school located above the Jay St Train Station . We are open today and our cafeteria staff is cooking lots more food than we need today , because the food needs to be cooked . They are making pulled pork , pulled chicken and cole slaw . It is coming from a safe school kitchen and is quite good food . We are not sure if we will have a lot , or tons of food . It depends on how many kids show up to school today . I called the Red Hook Initiative about this also . We are hoping to get this food over , assuming you can use it . We may be able to get a teacher to drive it to you , but so far , have n't found anyone . Might someone be able to come pick it up ? It would be available after 2:00 and probably until about 5:00 . My cell phone is ************* . Or you can call the school 's main line and ask for the cafeteria . ************* . I hope we can work this out .",Food,resource
This hurricane better actually happen ... im in need of some serious down time ... lmao,None,N/A
Cook . Distribute food clothing whatever . Have car,Food,resource
So apparently we have a hurricane coming ... or a tropical storm ... . something ... . I hope it 's a hurricane .,None,N/A
"My daughter ( 15 ) and I ( 50-ish ) wish to volunteer with food service , over the thanksgiving holiday and beyond are there food pantries set up in Red Hook where we could serve or organize food donations . Let me know . thanks , *********",Food,resource
"Drinking water , toilet paper",Water,resource
I am a certified first aid responder,Medical,resource
You better shape up because Sandy needs a man and she set her eyes on you ... ... @ Bay Ridge http : //t.co/cqweSIO8,None,N/A
I have a car and can deliver food ( or clothing if needed ) .,Food,resource
"I can give out food , pack donations",Food,resource
"Safe food , baby formula for those with severe food allergies and Celiac .",Food,resource
@ trinamariexox I hope Sandy blows open the window and makes all your food soggy and let 's walkers in . See ya in hell .,None,N/A
"I am able and willing to help where I can , whether it be cleaning , food delivery or hand outs , etc .",Food,resource
A van full of water clothes blankets kitchen and bathroom miscellaneous garbage bagss gloves,Water,resource
"Can you clarify this need ? Details of who needs the food , location , etc . Thanks .",Food,need
"Can help getting medication to the elderly and children . Can help move furniture . Can help paint , hammer , lay tile .",Medical,resource
We have a church group in Harlem making chili on Saturday . We could deliver by 5:30 - please let us know if we can help .,Food,resource
Pull ups 4T-5T several packages A & D ointment latex free gloves first aid kits,Medical,resource
Thanks for all the concerns & prayers . So far # Sandy has n't hit..but wind is 65+ mph and the rain has started ... city is deserted . # Pray4NYC,None,N/A
Really hope this Hurricane does n't happen . # foodie # deals # plans # nj # nyc # SCBD,None,N/A
Anyone besides ourselves and @ fogcreek experiencing outages due to Sandy ?,Energy,need
Tropical storm # Sandy ... '' My God ... over 82 AUs in diameter ! `` # LameGeekJim,None,N/A
3 Large Quilts Baby clothes & Blankets & supplies/ Feminine supplies/ Towels/ non perishable foods,Food,resource
To worry about Sandy or not to worry about Sandy ... That is the question ... Not liking the idea of a blizzard and hurricane mixing .,None,N/A
Really hope we dont lose power ... It was so cold during a hurricane imagine a week without power in snow,None,N/A
Hand out supplies and food . Light clean nothing too heavy .,Food,resource
"We are planning to have drive at our school to collect items such as gently used sheets , towels , blankets , clothing , toys , stuffed animals and non-perishable food . What are the specific needs and how can we get these items to you ? We are a small school in Hamden , CT. ************* , Social Worker , Foster School , ************* , *******************",Food,resource
"Charrito 's served free food todaty in # hoboken # hurricanesandy # njsandy @ Hoboken , NJ http : //t.co/verhpLaa",Food,resource
Food prep,Food,resource
Of course my lights go out right when I 'm gon na watch Almost Famous ! Fuck you sandy # itwasallhappening,Energy,need
"# HurricaneSandy is suppose to hit # NYC at 2 ... .so far the weather is like being in Ireland , Sind and drizzle rain ... . # HomeFromhome",None,N/A
"I have man 's sweater , jacket , and some T shirts of size M-L . I also have some non-perishable foods and uncooked rice to give .",Food,resource
Enjoying life in the dark ... . ( @ Hurricane Sandy 's Power Outage ) http : //t.co/ZdCwWy8Q,Energy,need
"C'mon NYCers “ @ AmberTheAlly : # SANDY : They need a generator and AA batteries @ NYCRescue ( 90 Lafayette St NY , NY ) Pls RT ! ”",Energy,need
... is sandy..just a storm or partially cause of global warming ... ? ? ? Think again ...,None,N/A
Lost power ... Apparently all lower manhattan up until midtown is out of power . This is real ... # Hurricane # sandy is real.. Stay safe .,None,N/A
Just saw some pictures from LBI lots of flooding ... . I hope our house is still there after the storm ...,None,N/A
"Hi , I can help prepare food , serve food , offer clean up assistance but do n't necessarily have any tools , just my hands and willingness to help . I only have a bicycle and could maybe help with deliveries . I 'm within walking distance of Red Hook .",Food,resource
"Dog beds for two dogs , Evo dry food ( chicken ) , new toys Both need a hair cut and cleaning",Food,need
"Have non-perishable food ( canned goods especially ) , baby supplies , for Sandy victims .",Food,resource
Hopefully # hurricanesandy destroys Serc and arc on bush campus ... . Perminantely .,None,N/A
"I can donate clothes , help serve food , clean up and foster pets .",Food,resource
Officially have no power ... .just fckin great . # FckYouSandy,None,N/A
Can help deliver food/resources door to door,Food,resource
Mother Nature must really hate the northeast ... .another storm coming ? come on,None,N/A
"I have a food hander 's license . I can help cook , deliver meals , clean up , kitchen help , serve food . I would like to help deliver food to those with out access to elevators , especially in the housing lower east side . Food kitchens , etc .",Food,resource
"I 'm small but relatively strong -- I can deadlift about 140 pounds . Happy to help remove debris . I have a battery powered handsaw . I can bring/donate a broom . I have some gloves and face masks . I can donate books , but would probably need help bringing them if many are needed . I have some candles and probably some batteries . I have no veterinary experience , but I 've volunteered with no-kill animal shelters in the distant past , and am happy to help with pet care . Happy to climb stairs to deliver meals . Let me know what 's needed ; maybe I can fill your needs . I live near *********** , and am available all day Sunday November 4th . I can be available after work hours midweek , and then all day Sunday the 11th .",Energy,resource
Canned food and non-perishables,Food,resource
I 'm a nutritionist and would be also happy to help with any food distribution/food pantry work .,Food,resource
I can help distribute supplies and food . Great at organizing and multitasking . I available day & night .,Food,resource
I can help with food if needed .,Food,resource
We just lost power on 20th street . # sandy,Energy,need
There is no way in or out of Manhattan right now ... .. Stranded on an island during a hurricane ... .. Wow,None,N/A
"training in art conservation , recovery of damaged materials , working w/materials damaged by water/mold",Water,resource
... . It only the weather ... CTfU ... A little bit ... @ J_thorow Hurricane survival kit part 2 Tuesday through ... http : //t.co/IvFK1CPI,None,N/A
"food services , deliveries",Food,resource
"food prep , art therapy",Food,resource
Clothes lots baby supplies food money hygiene products,Food,resource
"Clothing , Beverages , Baby Supplies , Non Perishable Food , Garbage Bags",Food,resource
I have a bicycle and can deliver food and supplies if needed .,Food,resource
@ RandomCravings your welcome . If I can help in anyway let me know . # localsunite # Sandy # foodies,None,N/A
"Our company wants to send supplies like batteries and diapers . Pls confirm you 'd like this to be sent . Ideally I 'll hear from you by Saturday or Sunday . Thank you , ********* ************* ***********************",Energy,resource
"Power turned on , street on fire , power back off",Energy,need
I need batteries ! # Sandy ( @ Mama Angelinas Restaurant ),Energy,need
Pull ups- size 4T-5T pull ups 9several packages ) A & D ointment latex free gloves,Medical,resource
"clothing , hot meal , non-perishable , toys , hygiene products",Food,resource
"Cooking or provide food , shelter , Internet , light , etc",Food,resource
************** ******************* Food is spoiling non perishable food request Email : ******************* Telephone : ************,Food,need
"i have women 's clothing to donate ( jackets , sweatshirts , jeans , sweatpants , undergarment-new ) , toiletries . Also willing to bring a hot meal for a family .",Food,resource
the company I work for Regeneron Pharmaceuticals has a team of volunteers who are looking to come down to Staten Island to volunteer on Saturday November 10.. We have sandwiches and donations . We also have volunteers . We want to help . Put us anywhere you need help ! !,Food,resource
A few friends and I are happy to distribute meds,Medical,resource
"can help make food , sort clothes , collect supplies , etc",Food,resource
"drivers license , food prep ,",Food,resource
"Clothing , non-perishable foods , hygiene products",Food,resource
Any type of hot or catered meals that are needed .,Food,resource
I can purchase canned foods and bring them to surrounding neighborhoods . I 'm in the Brooklyn Heights/Cobble Hill area .,Food,resource
I am a cook . I can prepare large amounts of food without any difficulty .,Food,resource
"Batteries and flashlights are needed in the Rockaways ( Saturday , 11/3 , 1:46 PM )",Energy,need
"children 's toys and clothing in good condition , can also bring bottled water",Water,resource
@ unsarah @ keithemorris hope everyone has enough food for their `` staycation '' ... Thanks # sandy,None,N/A
I can get supplies from the pharmacy if needed ?,Medical,resource
3 trays of hot food .,Food,resource
@ therealjdeuce : My mom keeps cooking ... & i keep eating # fml # hurricaneprobz wait but mine too ... .,None,N/A
So happy I still have power ... my IPad is ready now my phone is next ... Watching soa for the rest of the night ... # sandy # lonelymonday,None,N/A
"Hello , I just received an email from Justin Wedes about your organizing efforts to get volunteers to people on the Lower East Side of Manhattan , Bless you ! ! ! I just got word that members of my family , one a senior and other disabled are in dyer need of vital food and water supplies . Their address ; ***************************************** ( off of Houston/Ave D ) . They do n't have the means or resources to leave the apartment or to get these basic life substaining supplies . I 'm in an unaffected area of the city ( Washington Heights ) with a young child and can get to them . Can you please get volunteers to them or direct me to someone or agency that can , their situation is has gotten desperate ... Thank you , ****************************",Food,need
Distribution of water . Helping in shelters and temporary sites,Water,resource
"I can serve food , help visit places in need . Clean , build ( novice level ) .",Food,resource
"Non perishable food , baby supplies , hygiene products , clothing",Food,resource
"Non perishable food , clothes , and toys .",Food,resource
PLEASE DONATE SOAP SHAMPOO TOOTHBRUSHES TOOTHPASTE BAND-AIDS PENS ENVELOPES WASHCLOTHS POSTAGE STAMPS LAUNDRY DETERGENT,Medical,need
@ BoozyBurbs your lucky and I completely agree let 's do it ! Any ideas ? ! # BergenCounty # SandyRelief # foodies # SCBD,None,N/A
I am not a professional but have experience with tools . Hand tools and power tools,None,resource
I can also cook food or buy non perishable food and hygiene products . The site only let 's me pick one ! I do have clothes to give as well . Whatever is most needed or all .,Food,resource
"I can come down with supplies such as D batteries , LED Flashlights , clothing and other things needed . Please call ************* - I will try and contact you guys on 11/2 to see what you need . I will purchase as much as I can fit in my car up here in Syracuse , and bring them down 11/3 and volunteer my time the entire weekend . I am an elementary teacher . I can look after children as well .",Energy,resource
I 'm trained in first aid,Medical,resource
Able to bring some supplies to Red Hook on Sunday and Tuesday ; distribute food etc . ; clean ; sort donations,Food,resource
"Adult clothing ( men and women 's ) warm jackets Children 's clothing ( boys ages 7,5,4 ) and baby girls . Sheets , blankets , pillows Toys Canned goods .",Food,resource
@ CBSNewYork day 8 after hurricane and power lines still down in front of my house . PLease help http : //t.co/Z0oqfZUW,Energy,need
"Whole foods union square open , reprieve ! Amazing hot chocolate ... # sandy # sandynyc",None,N/A
"I 'd love to take a collection of anything needed - clothes , flashlights , food , etc - can you tell me what is needed and where I can drop it off mid week ? Thank you !",Food,resource
Whole foods was popping yesterday . People were buying salmon and lump crab for the storm . lmbo,None,N/A
Food & Clothes sorting and distribution,Food,resource
i can bring water and supplies,Water,resource
"Stocking up on water , food and warm blankets ... Sandy 's gon na be a fierce one !",None,N/A
bag of cat food,Food,resource
"Baby formula . 3 x 32 oz bottles similac sensitive ready made formula , 1x 2.13 lb & 3 x 12.6 oz containers similac sensitive powder formula .",Food,resource
@ laurenkoslow I 'm going through withdrawals ... .have n't had power since monday in NJ due to Sandy..missing DOOL !,None,N/A
"Want to help delvier supplies , debris removal , bring food and clothing , etc .",Food,resource
"non-perishable food , clothing , hygiene products , candles",Food,resource
Any restaurants willing to donate containers for prepared foods and soups ? # sirecovers # sihelp # helpsi # sandyvolunteer,Food,need
"Men 's , women 's , children 's coats , clothing , shoes , blankets , bleach , paper towels , work gloves , water . Approximately 100-150 industrial sized trash bags with clothing . A decent amount of non-clothing items .",Water,resource
"Happy to do clean up and assist more skilled workers ( like someone who does tree removal , happy to lift/move branches , do whatever is needed ) . I 'm a trained cook so I can prepare food , sort food , help organize delivery , etc .",Food,resource
"Smart , handy and physically able . Can do food packaging , food prep , moving stuff , can swing a hammer ( not licensed but have experience ) ...",Food,resource
Distributing food/water/clothes/supplies or any kind of debris removal,Water,resource
Running burning some calories from all that food that I ate while sandy was here,None,N/A
I can help with making and packing food .,Food,resource
Peanut Butter Jelly Whole Wheat Bread Tuna Fish,Food,resource
rcvd email from ******** stating she has not yet spoken to ***** . Emailed ***** requesting update and whether or not she is available still to assist with food/supplies .,Food,resource
sculptor so reasonably handy with tools,None,resource
batteries and flashlights,Energy,resource
6 cases of bottled water .,Water,resource
@ AP we are flooded in the other ZoneA that everyone forgets about .. East 95th street ... Whole block needs evacuated . # HurricaneSandy,None,N/A
Its krazii outside ... hopefully sandy is gone even tho it left sum places a mess . Hope every1 is safe nd is okay . Glad the rain has stop .,None,N/A
"slacks , sweaters , tops , jacket , shoes , sheets , towels , dry and canned food",Food,resource
"clothing , non-perishable foods , and hygiene products .",Food,resource
wow driving around and seeing all the damage Sandy caused ... .Jersey felt this one.and Jersey shore will never be the same . 9000+ homeless,None,N/A
Love this tweet from @ jetblue @ nycfoodtruck # SandyRelief # SandyUnites # NYC # FeedOurNeighbors # SCBD http : //t.co/exYTJKtD,None,N/A
"Through my office - the US Attorney 's Office , SDNY - I have collected a massive amount of clothing and supplies including around 50 giant bags of clothing - everything from jeans and shirts , to new socks and undergarments ; a mass of warm winter coats ; a mass of baby products including diapers and wipes , baby clothing , a baby car seat ; shoes for adults and children ; some non-perishable food ; some cleaning products .",Food,resource
Can help prepare food . Grocery shop for seniors .,Food,resource
I can help clean up and cook/provide food .,Food,resource
"willing to help in any way I can ; I do n't own a car but can drive and pack and unload and carry items . Can help with info , preparing food , etc .",Food,resource
"We have about 500 brownbag meals that can be delivered at around 3:30pm-4pm . Do you know of any locations that can use them ? They do not have to take all 500 . The brownbags consist of 1 or 2 sandwiches , a snack , and a juice . There 's pb & j 's , turkey & cheese , veggie , and just cheese .",Food,resource
"food stations , food preparation/serving , sorting donations",Food,resource
People are storming seabras for food # TheStruggle,None,N/A
"Thanks to all of our friends who prepared for Sandy by fortifying @ littlefoodcafe Sunday Brunch . See you tomorrow , folks ! # lfc # eatlocal",None,N/A
I need food but theres none left inny house ... # Sandy,Food,need
one branch fell down on my street the entire ***** hurricane and we have no power for a week ? such bullshit,Energy,need
"Hello my name is **************** , my boss ************** was wondering if there was a possibility of bringing some hot , home made food to help the victims affected by hurricane Sandy . Please contact me at *************** as soon as possible to see if we can organize something to help as many people as we can .",Food,resource
I can cook and transport large quantities of hot and or non perishables .,Food,resource
Sandy took my dock ... ..,None,N/A
spooky : the total lack of power from 34th st - south . # sandy,Energy,need
4 trays of lasagna or something else if that is needed more - please let me know what would be most useful and I 'm happy to prepare it .,Food,resource
food distribution ! Cleaning !,Food,resource
In case # Sandy wipes # nyc off the map ... I think u & ur young Spiderman would be perfect to head north & begin the @ gomigirl Gotham Era ...,None,N/A
"I am in need of heat hot water , pet food , cleaning supplies , roof installation , non persiable food , information on other funding or grants to help recover from the storm .",Food,need
I have been working on connecting gluten-free hurricane victims with gluten-free companies . We want to make sure the food gets into the hands of those who really need the gluten-free food for medical purposes . Can you please connect me with someone who might be able to accept gluten-free donations ? Thank you ! ********** ******** at gmail dot com,Food,resource
"Distribute food , pack supplies",Food,resource
There 's a storm on the ocean and it 's moving this a way.. If ur soul not anchored in Jesus U will surely drift away.. JUST THOUGHT OF SONG..,None,N/A
happy halloween ... ... .. # HurricaneSandy http : //t.co/6iGfAJLQ,None,N/A
Something something something big storm ... Something something something panic ... # Sandy # Hurricane,None,N/A
"soap , shampoo dried grains ( oatmeal , couscous , etc . )",Food,resource
"Ready to do any clean up work , dispensing food and goods .",Food,resource
Sandy is landing in between asbury and wildwood ... .. Rip to us .,None,N/A
So sandy has left me with no light for two days ... .smh,None,N/A
So a hurricane is going to be hitting New York ... .awesome .,None,N/A
NBA cares and NY cares headed to e84th and beach blvd to distribute food in # FarRockaway # sandy pls RT @ CarolineManzo @ JacLaurita,Food,resource
"I have a bike and I can drop off items in Brooklyn . Clothing , non-perishables .",Food,resource
"Meals on Wheels donated 50 meals , can anyone deliver additional meals tomorrow ?",Food,need
"ready to eat food-pop-top tuna and chicken , shelf stable milk , cereal , bread , juice , peanut butter and jelly",Food,resource
We have clothes for all ages and brand new shoes and boots . We have baby items like diapers car seats high chair ect . We also have hygine products like wipes toothbrushes toothpaste ect . We also have some kids toys and stuffed animals even a bike and we also have some non perishable foods . And blankets !,Food,resource
@ RachelAnnR also ... this is what sandy left behind in her wake ... so I think she 's ready too ... http : //t.co/FQeG1vT5,None,N/A
I'ma just # oceanlab my night away ... Reminisce on # sensationwhite & all the beautiful memories from this weekend ... # HurricaneSandy you blow,None,N/A
Rt : “ @ BronxZoosCobra : All stocked up on canned mice and batteries for my heated rock . # sandy”,None,N/A
"We were here for the marathon and would like to help in some capacity nov 3-6 if there is clean-up , meal preparation , debris removal , food service that we can do , short term please let us know . There are two of us .",Food,resource
Sandy is causing up a stir ... . Got ta get ready ! ! ! ! First ... . Show time in PA..,None,N/A
good food & family ! # hurricaneparty,None,N/A
"Clothes , Hygiene products , toys , baby supplis , non-perishable , and , more",Food,resource
"prepare food package , help to deliver food ...",Food,resource
"Hurricane Sandy : Chinatown Black Market Emerges As Vendors Hawk Batteries , Candles , Outlets - http : //t.co/WL2S8Hsb # chinatown # Washington",None,N/A
Willing to donate canned food and or other non-perishable food and/or hygiene products as needed .,Food,resource
"53 matchbooks , several flashlights , a few batteries , lots of women 's clothing , several kitchen towels , all from 2-person household located in fort greene , brooklyn . ( have already listed this info in the staten island community but i do n't know how they would receive it , so am posting it here as well . available to deliver on saturday nov 3 )",Energy,resource
"Willing to give out water , supplies , etc .",Water,resource
Zone A & away ... evacuating but think it 's crowd frenzy vs . Danger ... is sandy worse than Irene ?,None,N/A
food distribution,Food,resource
Only needs toddler clothes and food . Did n't fill out form-,Food,need
"I would be happy to distribute water or food , and I am a certified teacher , so I would hope to be able to entertain some kids with reading or craft projects .",Water,resource
I would also be willing to knock on doors and distribute food/water/information .,Water,resource
"Hi , I 'm interested in donating non-perishable canned food . What I want to do is buy food online from Costco and ship it directly to a location . I do n't have a car so I can not do it myself . I 'm very eager to help . I have everything ready and I can donate hundred of servings of canned food in # 10 cans , a total of 6 cans . Please tell me if I can ship them somewhere or if it is helpful to purchase # 10 cans of food . Thank you . - ****************",Food,resource
"I have many towels ( large , as well as hand towels and wash cloths , ) small men 's hygiene products ( travel size ) I 'd like to donate . I also have some batteries to donate . If there is a need for these items , please let me know . Thank you .",Energy,resource
"I have gently used clothing , like new coats , non perishable food items , and hygiene items . I can drop them off Thursday or Friday . Thanks",Food,resource
Water bottles Baby diapers size 5,Water,need
it doesnt feel like Halloween . 2 much devastation # hurricanesandy,None,N/A
I need groceries ... not because of the storm ... Just legit need groceries .,Food,need
"i can prepare food or serve , or bring to people in need .",Food,resource
"I can offer food supplies , blankets , etc .",Food,resource
"can help prepare food , what do people need in Red Hook ? I do n't have a car , but can bike there to help and bring goods .",Food,resource
hot food and hot soup,Food,resource
How about delivering $ 5 mil to them too ? RT @ realDonaldTrump : Trump Hotels are delivering lots of food to storm victims ... we love doing it !,Food,resource
"Can give clothing , canned goods , toilet paper , hygiene products . What else do you need ? Can prob give more .",Food,resource
I 've been waiting for the bus for an hour now . # sandy,None,N/A
Clean up food service,Food,resource
"Hope to be able to provide transport if we are able to get some gas today ! I can also cook/do food prep , if that helps .",Food,resource
Omg hurricane sandyS a whore she blew the east coast . Lol you sound stupid she 's not a person she 's a hurricane,None,N/A
"Hello a group of us are coming from the Eastern Shore Maryland area to help Staten Island . We are raising funds to prepare Thanksgiving meal to hand out for free to some of the residents of Staten Island . We are working with ******************** of Woodrow United Methodist Church at ******************************************* , ( ************* . We will distribute the meals from her church . Pastor feels a strong pull to deliver the meals the the Midland Beach , Staten Island area . She observed that they have a huge need for a special blessing . We will deliver the meals on Thanksgiving Day . We need many volunteers to help us distribute the meals . We seek people to help us package the food , help load the food for delivery and people who will volunteer to deliver the meals . Could you please help us get this word out ? Thank you and God Bless , ************* and ****************************** or *************",Food,resource
"Please use me for driving/delivering supplies especially food , and food serving",Food,resource
"I can provide sandwiches , fruit , food for kids/ babies , baby supplies , non perishable foods , hygiene products , paper , cups/plates/napkins",Food,resource
"I have toiletries , non-perishables , cleaning products and winter jackets , scarves and hats .",Food,resource
"The face of a building in New York around 95th street , completely came off ... Meaning you can see the apt suites ... Sandy is n't kidding .",None,N/A
Despite the hurricane ... .doodie calls . # Sandy # nyc # zoneb @ East Village http : //t.co/NMG6loM9,None,N/A
"I can cook . I have a car . I can make some meals and bring them . I can get canned goods etc . I can work Monday all day until about 3 . I could work Wed. AM , Thurs all day .",Food,resource
"@ JerrySeinfeld WHAT ... .is With the mess ? I mean , who schedules a comedy gig during a Hurricane ... .LOL",None,N/A
"@ JCP_L another nite of no power , heat and info as to when we will have power restored . At least if we 're told it would help . # Sandy",Energy,need
This hurricane ... . # notthatserious,None,N/A
Multiple Bags of Mens and Womans Clothing . And we have food non perishable to donate . We just need to know where to drop it off in New Jersey or around our home . We live in Downingtown PA .,Food,resource
"# Sandy is a blessing for businesses . Everybody is out , buying foods , water and whatsoever they need . # economy # NYC",None,N/A
OMG hurricane sandy ! We 're all dead ! ... ... Like stfu already !,None,N/A
All I know is when sandy hits ... . If she does ...,None,N/A
"can supply yard work , debri removal , clean-up",None,N/A
Working in this hurricane shelter ... .. If the city puts money on the table I 'm taking it !,None,N/A
Hurricane shelter meets only place to grab food in North NJ . ( @ McDonald 's ) http : //t.co/OeKqD3wB,None,N/A
Out here helping this community ... . The things u see is incredible ... Keep these people in ur prayers ... . # Sandy http : //t.co/zTFbQjht,None,N/A
surgical supplies,Medical,resource
"I would like to donate clothing , non-perishable food items and baby items , that we collect here in our community . Also , may be available to volunteer in a shelter during Thanksgiving weekend ( November 22 - 26 ) . Not physically big or strong but can help in other ways .",Food,resource
"batteries , of different varieties . flashlights . and box cutters . they are arriving with a friend coming from MA tomorrow and we could like to donate to wherever and to whomever they are most needed ! Thank you ! - *********",Energy,resource
Definitely ate about 75 % of my emergency food for Hurricane Sandy . That 's why I would never survive in a major disaster ...,None,N/A
"We 've collected bottled water , baby supplies , blankets , jackets , clothes , cleaning supplies and hygiene products that we plan on bringing saturday the 10th .",Water,resource
"We have men 's clothes , women 's clothes , maternity clothes , and newborn baby girl clothes . We have baby-related supplies , food , home goods and hygiene products . Please let us know how we can help .",Food,resource
"***** has donated batteries , baby wipes and beans to ***** .",Energy,resource
"Can help with administrative duties or distributing food , supplies",Food,resource
can bring baby supplies and non-perishable food .,Food,resource
“ @ Rockaway100 : @ redcrossny @ fema Rockaway has been devastated and is in dire need of assistance with first aid supplies and basic necessities”,Medical,need
"Happy to transport the injured , clean debris , etc .",Medical,resource
6 Pallets of Bottled Water,Water,resource
"Warm clothes , scarves and mittens , some non-perishable food . Only a relatively small quantity -- one garbage bag 's worth -- but I would like to do something to help ! Is there somewhere I can drop off these items ?",Food,resource
No power . Later all ( @ Frankenstorm Apocalypse - Hurricane Sandy w/ @ tamar @ cassel @ psbx @ sarahcooley ) http : //t.co/4i5jprix,Energy,need
"I can get some non perishable food , clothing , baby food , cat or dog food , bathroom/hygiene supplies , but i have no car for dropping things off ... if there is a drop off location in astoria or accessible by subway/bus , I just need to know where it is ! thanks",Food,resource
HURRICANE LIFE # needpower @ SoHo http : //t.co/7wRh1AnL,Energy,need
Pass out food or relief supplies,Food,resource
@ ErinBurnett can you update us as to whats going on . thx to # sandy power is out in staten island # ny,Energy,need
IM SICK ... SANDY GOT ME . I CAMT STOP COUGHING OR SNEEZING AND PUKING ... NICE ...,None,N/A
bad thing about living in garden city during hurricanes ... . trees everywhere,None,N/A
Its sooo Boring ! ! Hate Sandy ! ! ! I guess movies and food all day ...,None,N/A
Power 's out ... Thanks Sandy . Thanks .,None,N/A
"I 'm in Baltimore but I 'd like to donate whatever makes sense , if you can receive deliveries . Pet food ? Pls tell me what and where : ************* , lv mess",Food,resource
"Young , fit , and willing to help ! Can also provide hot food if necessary . Have a car , but low on gas , hopefully can get some soon to offer rides/transport of supplies ! Speak Italian also .",Food,resource
